name,t_ms,in_size_bytes,out_size_bytes,nlines
native_client/src/shared/gio/gio_mem_snapshot.c,65,91105,3336,4266
native_client/src/shared/gio/gio_mem.c,57,101397,3704,4529
native_client/src/trusted/service_runtime/linux/nacl_bootstrap_munge_phdr.c,67,85989,5128,4335
third_party/libwebp/dsp/enc_sse2.c,269,161013,8560,5872
third_party/angle/src/compiler/SymbolTable.cpp,1146,871212,51080,33413
third_party/libwebp/dsp/dec.c,359,63845,27248,2422
third_party/speex/libspeex/speex_callbacks.c,66,68191,4928,2676
third_party/speex/libspeex/speex_header.c,98,69456,4880,2693
third_party/speex/libspeex/vbr.c,111,45189,8704,1211
third_party/speex/libspeex/modes_wb.c,256,120988,7944,4373
third_party/speex/libspeex/speex.c,274,107727,6344,3697
third_party/speex/libspeex/vq.c,73,29881,3016,1202
third_party/speex/libspeex/window.c,68,3645,1961,61
third_party/speex/libspeex/exc_10_16_table.c,23,864,1148,26
third_party/libwebp/dsp/dec_sse2.c,455,170823,22936,5996
third_party/speex/libspeex/exc_10_32_table.c,24,1350,1308,42
third_party/libwebp/dsp/enc.c,342,83725,20064,3109
third_party/angle/src/compiler/ParseHelper.cpp,1577,774949,87448,29705
third_party/speex/libspeex/exc_20_32_table.c,34,2272,1628,42
third_party/speex/libspeex/high_lsp_tables.c,32,4001,2161,141
third_party/speex/libspeex/lsp_tables_nb.c,29,7131,3480,338
third_party/angle/src/compiler/VariableInfo.cpp,1187,666789,44752,25637
third_party/speex/libspeex/exc_5_256_table.c,21,4792,2268,266
third_party/speex/libspeex/exc_5_64_table.c,23,1471,1306,74
third_party/speex/libspeex/stereo.c,174,111923,7816,3859
third_party/speex/libspeex/modes.c,84,62926,10344,2219
third_party/speex/libspeex/exc_8_128_table.c,26,3705,2012,138
third_party/libwebp/dsp/upsampling_sse2.c,536,174387,27848,5073
third_party/libwebp/dsp/upsampling.c,567,52336,48888,1003
third_party/speex/libspeex/quant_lsp.c,436,106556,14632,3651
third_party/speex/libspeex/lsp.c,139,70902,6112,2368
third_party/skia/src/opts/SkBitmapProcState_opts_SSSE3.cpp,672,248372,5632,10568
third_party/speex/libspeex/sb_celp.c,440,156444,25400,5582
third_party/speex/libspeex/filters.c,288,84964,14064,2879
third_party/speex/libspeex/ltp.c,318,119470,12920,4186
third_party/speex/libspeex/nb_celp.c,707,166796,34072,5875
seccompsandbox/debug.cc,21,214,815,9
seccompsandbox/fault_handler_asm.S,52,3937,1840,218
seccompsandbox/allocator.cc,190,156364,2224,5223
third_party/webrtc/system_wrappers/source/critical_section.cc,80,44591,1624,2171
third_party/webrtc/system_wrappers/source/cpu_no_op.cc,42,4653,1288,168
seccompsandbox/ipc.cc,506,645797,7792,23324
seccompsandbox/access.cc,521,643735,7024,23236
seccompsandbox/madvise.cc,493,642541,3536,23207
third_party/webrtc/system_wrappers/source/cpu_info.cc,72,14276,2080,763
seccompsandbox/mmap.cc,450,642542,3560,23201
third_party/webrtc/system_wrappers/source/cpu_features.cc,61,4797,2088,189
seccompsandbox/munmap.cc,443,642251,3512,23196
seccompsandbox/prctl.cc,430,642437,3432,23197
third_party/webrtc/system_wrappers/source/critical_section_posix.cc,69,44953,5304,2186
seccompsandbox/clone.cc,438,644494,3728,23248
seccompsandbox/trusted_thread_asm.S,37,9549,2888,540
seccompsandbox/ioctl.cc,634,642451,3416,23200
seccompsandbox/getpid.cc,413,641418,1464,23165
third_party/webrtc/system_wrappers/source/cpu_linux.cc,122,79742,10568,3980
seccompsandbox/exit.cc,470,641913,3304,23184
third_party/webrtc/system_wrappers/source/rw_lock_posix.cc,84,34648,5016,1593
third_party/webrtc/system_wrappers/source/aligned_malloc.cc,66,34601,2096,1494
third_party/webrtc/system_wrappers/source/condition_variable.cc,45,34012,1560,1543
third_party/webrtc/system_wrappers/source/atomic32.cc,66,36471,4200,1815
seccompsandbox/mprotect.cc,598,642398,3544,23198
third_party/webrtc/system_wrappers/source/condition_variable_posix.cc,112,51433,7800,2428
seccompsandbox/open.cc,654,643680,6752,23235
seccompsandbox/gettid.cc,501,641436,1280,23166
seccompsandbox/x86_decode.cc,68,9293,3296,325
v8/src/hydrogen.cc,10111,2286305,688456,76966
seccompsandbox/trusted_thread.cc,341,493123,1640,17673
seccompsandbox/tls_setup_helper.S,27,666,833,30
third_party/webrtc/system_wrappers/source/data_log_no_op.cc,466,637446,6984,24928
third_party/smhasher/src/MurmurHash3.cpp,109,9067,4712,412
seccompsandbox/maps.cc,977,681199,29376,24720
third_party/webrtc/system_wrappers/source/event.cc,79,46047,1728,2265
seccompsandbox/tls_setup.cc,424,643604,2864,23250
third_party/webrtc/system_wrappers/source/file_impl.cc,104,44403,16008,2115
third_party/webrtc/system_wrappers/source/event_posix.cc,132,110465,10640,5893
seccompsandbox/system_call_table.cc,372,498684,12416,17843
seccompsandbox/socketcall.cc,520,653994,11808,23597
third_party/webrtc/system_wrappers/source/list_no_stl.cc,104,19978,11680,1111
seccompsandbox/syscall_entrypoint.cc,448,646268,3448,23383
third_party/webrtc/system_wrappers/source/trace_impl_no_op.cc,38,13136,3144,729
third_party/webrtc/system_wrappers/source/rw_lock.cc,53,34524,2784,1592
seccompsandbox/sigprocmask.cc,567,642300,1616,23198
third_party/libwebp/enc/alpha.c,71,63693,2128,2421
native_client/src/trusted/service_runtime/nacl_error_code.c,99,71134,15008,3267
third_party/webrtc/system_wrappers/source/thread.cc,115,45492,1584,2220
third_party/webrtc/system_wrappers/source/thread_posix.cc,114,87057,11992,4521
seccompsandbox/sandbox.cc,661,759016,18008,25435
third_party/webrtc/system_wrappers/source/map.cc,209,163128,11592,6283
third_party/libwebp/enc/cost.c,112,87551,9864,2909
seccompsandbox/securemem.cc,698,645998,5608,23381
seccompsandbox/sigaction.cc,703,643691,3896,23218
seccompsandbox/library.cc,1339,836715,42600,30477
third_party/libwebp/enc/config.c,103,38734,2320,1545
seccompsandbox/stat.cc,678,644184,7256,23253
third_party/libwebp/enc/layer.c,91,63796,2432,2423
third_party/webrtc/system_wrappers/source/data_log_c.cc,851,644745,44608,25056
native_client/src/trusted/validator_x86/nccopycode_stores.S,67,780,757,27
base/base_switches.cc,65,1251,2762,68
third_party/libwebp/enc/tree.c,118,84291,8176,2888
third_party/webrtc/modules/video_processing/main/source/content_analysis_sse2.cc,289,184888,4240,7302
third_party/libwebp/enc/iterator.c,182,71636,9240,2732
third_party/libwebp/enc/syntax.c,137,106579,4792,3551
third_party/libwebp/enc/webpenc.c,176,107450,6000,3581
third_party/libwebp/enc/analysis.c,314,72485,5768,2750
base/third_party/xdg_mime/xdgmimealias.c,75,73485,4704,2601
third_party/libwebp/enc/filter.c,265,110403,11720,3695
third_party/libwebp/enc/picture.c,254,78483,12704,2883
seccompsandbox/trusted_process.cc,674,651687,17664,23563
third_party/libwebp/enc/quant.c,344,125227,20352,4198
base/third_party/xdg_mime/xdgmime.c,208,131635,28152,4681
base/third_party/xdg_mime/xdgmimeicon.c,82,73514,4688,2601
third_party/libwebp/enc/frame.c,417,118039,18296,4012
base/third_party/xdg_mime/xdgmimeglob.c,148,93293,10304,3126
