name,t_ms,in_size_bytes,out_size_bytes,nlines
third_party/webrtc/common_audio/signal_processing/resample.c,203,42181,5560,1309
third_party/webrtc/common_audio/signal_processing/resample_by_2_internal.c,192,18617,3556,797
v8/src/allocation.cc,197,62529,1596,2656
v8/src/cached-powers.cc,150,45049,2300,1415
v8/src/bignum-dtoa.cc,189,94876,4460,3884
v8/src/atomicops_internals_x86_gcc.cc,212,88668,152,4111
v8/src/bignum.cc,476,80365,11036,3414
v8/src/conversions.cc,931,226880,14540,10194
v8/src/circular-queue.cc,1511,1160171,1404,38980
v8/src/checks.cc,1607,1159824,2600,38958
v8/src/contexts.cc,1757,1236737,4432,42225
v8/src/compilation-cache.cc,1980,1214555,16212,40966
v8/src/codegen.cc,2126,1556365,4348,53475
third_party/icu/mac/icudt46l_dat.S,4572,23916597,9961604,77835
v8/src/accessors.cc,2528,1332078,14476,46228
v8/src/assembler.cc,2590,1558467,20304,53515
v8/src/diy-fp.cc,97,22608,444,903
v8/src/code-stubs.cc,2431,1567723,19052,53785
v8/src/dtoa.cc,191,82817,1148,3390
v8/src/counters.cc,1480,1158591,2104,38951
v8/src/fast-dtoa.cc,307,79558,5764,3439
v8/src/cpu-profiler.cc,1756,1185371,20180,39934
v8/src/fixed-dtoa.cc,302,88879,4960,3579
v8/src/dateparser.cc,1533,1171983,1696,39500
v8/src/data-flow.cc,1757,1340175,452,45237
v8/src/ast.cc,3334,1418309,77576,47960
v8/src/compiler.cc,3328,1850284,25008,63567
v8/src/debug-agent.cc,1830,1227934,10160,41867
v8/src/builtins.cc,4078,1576051,66520,52436
v8/src/disassembler.cc,2073,1539761,496,53217
v8/src/flags.cc,1919,1218284,48840,40855
v8/src/bootstrapper.cc,5043,1542346,87092,52100
v8/src/func-name-inferrer.cc,1888,1323954,3724,44433
v8/src/global-handles.cc,1802,1174910,7912,39618
v8/src/deoptimizer.cc,3046,1610089,35504,55522
v8/src/execution.cc,2878,1552892,20316,53518
v8/src/heap-profiler.cc,1616,1163091,5452,39083
v8/src/elements.cc,3182,1187636,59436,39723
v8/src/debug.cc,4541,1690432,78036,58718
v8/src/full-codegen.cc,3111,1623694,52772,56017
v8/src/liveobjectlist.cc,35,217,152,9
v8/src/frames.cc,3321,1605259,42208,55365
v8/src/inspector.cc,1487,1157550,152,38894
v8/src/handles.cc,3486,1578573,36240,53026
v8/src/interpreter-irregexp.cc,2170,1343337,4988,44883
v8/src/factory.cc,5016,1447541,94480,46291
v8/src/incremental-marking.cc,2805,1553330,25736,53550
v8/src/log-utils.cc,1651,1167198,7940,39330
v8/src/lithium.cc,2507,1735681,4888,59237
v8/src/messages.cc,1720,1164308,5520,39115
v8/src/ic.cc,4220,1625729,70028,55697
v8/src/objects-debug.cc,1564,1219814,152,41222
v8/src/preparse-data.cc,532,83437,14292,3593
v8/src/objects-printer.cc,1631,1219832,152,41222
v8/src/api.cc,9586,1763448,272836,58923
v8/src/isolate.cc,4110,1864009,49408,63833
v8/src/log.cc,3206,1593148,48084,55098
v8/src/liveedit.cc,3516,1570597,37452,54505
v8/src/objects-visiting.cc,2028,1477393,860,50724
v8/src/lithium-allocator.cc,4340,1918545,48872,64052
v8/src/preparser.cc,1529,297274,32724,12823
v8/src/prettyprinter.cc,1749,1329657,152,44769
v8/src/property.cc,1559,1158266,592,38924
v8/src/hydrogen-instructions.cc,5982,1934162,228940,64040
v8/src/heap.cc,7654,1747651,202208,60127
v8/src/regexp-stack.cc,1523,1159229,2136,38969
v8/src/jsregexp.cc,6055,1637301,109088,56358
v8/src/regexp-macro-assembler-irregexp.cc,1729,1331626,152,44514
v8/src/regexp-macro-assembler-tracer.cc,1884,1340346,12052,44890
v8/src/regexp-macro-assembler.cc,1887,1333008,4924,44739
v8/src/scanner.cc,1001,146286,19636,4893
v8/src/rewriter.cc,2013,1345475,11784,45302
v8/src/runtime-profiler.cc,2319,1557291,10612,53936
v8/src/safepoint-table.cc,2003,1318320,6876,45653
v8/src/strtod.cc,244,93823,3924,3779
v8/src/token.cc,65,24244,4100,842
v8/src/scanner-character-streams.cc,1618,1165972,6124,39254
v8/src/snapshot-common.cc,1533,1174142,3192,39597
v8/src/utils.cc,122,62962,1448,2651
v8/src/scopeinfo.cc,2116,1341255,7792,45257
v8/src/string-search.cc,1562,1171013,152,39413
v8/src/mark-compact.cc,6810,1699896,127048,58240
v8/src/store-buffer.cc,1886,1173107,10540,39458
v8/src/unicode.cc,659,134509,56712,3366
v8/src/scopes.cc,2683,1367106,24404,46369
v8/src/string-stream.cc,2050,1175712,18344,39617
v8/src/profile-generator.cc,4688,1282405,105444,42922
v8/src/spaces.cc,2978,1359594,45560,46678
v8/src/v8-counters.cc,1794,1180829,19840,38920
v8/src/v8utils.cc,1647,1168239,7572,39306
v8/src/v8threads.cc,1800,1232672,11348,42050
v8/src/variables.cc,1823,1330569,1352,44827
v8/src/version.cc,1555,1159544,2004,38977
v8/src/serialize.cc,4219,1745238,108788,53072
v8/src/type-info.cc,2772,1570152,13896,53851
v8/src/zone.cc,1645,1162683,2744,39171
v8/src/extensions/gc-extension.cc,1606,1158676,2264,38931
v8/src/v8.cc,2674,1772781,6256,60840
v8/src/hydrogen.cc,12016,2244052,322320,74725
v8/src/extensions/externalize-string-extension.cc,1692,1161985,6808,39021
v8/src/stub-cache.cc,3655,1615120,49084,54776
v8/src/parser.cc,8497,1741384,178048,60622
v8/src/v8conversions.cc,3667,1161323,35816,39030
v8/src/ia32/frames-ia32.cc,1481,1167067,332,39302
v8/src/ia32/cpu-ia32.cc,1695,1294536,816,44656
v8/src/ia32/builtins-ia32.cc,2863,1604181,52744,55513
v8/src/ia32/debug-ia32.cc,2159,1526156,8764,52666
v8/src/ia32/codegen-ia32.cc,2380,1537586,24556,52986
v8/src/ia32/disasm-ia32.cc,2205,1206552,36696,40578
v8/src/ia32/assembler-ia32.cc,2959,1341630,54088,47075
v8/src/ia32/deoptimizer-ia32.cc,2563,1592537,23608,54854
v8/src/ia32/ic-ia32.cc,2735,1591735,50972,54826
v8/src/x64/assembler-x64.cc,1448,1157448,152,38887
v8/src/x64/builtins-x64.cc,1506,1157443,152,38887
v8/src/x64/code-stubs-x64.cc,1500,1157453,152,38887
v8/src/x64/codegen-x64.cc,1472,1157438,152,38887
v8/src/ia32/lithium-gap-resolver-ia32.cc,3063,1912498,10480,64074
v8/src/x64/cpu-x64.cc,1556,1159762,152,38968
v8/src/x64/debug-x64.cc,1528,1157428,152,38887
v8/src/ia32/regexp-macro-assembler-ia32.cc,2596,1477082,39892,50743
v8/src/ia32/macro-assembler-ia32.cc,3524,1599111,83104,55283
v8/src/x64/deoptimizer-x64.cc,1564,1157458,152,38887
v8/src/ia32/code-stubs-ia32.cc,5421,1763329,236148,60720
v8/src/x64/disasm-x64.cc,1559,1157516,152,38864
v8/src/x64/full-codegen-x64.cc,1559,1157463,152,38887
v8/src/x64/frames-x64.cc,1593,1157433,152,38887
native_client/src/trusted/service_runtime/env_cleanser.c,118,53392,2448,2034
third_party/webrtc/modules/audio_coding/codecs/g722/g722_interface.c,74,36149,1700,1359
v8/src/x64/ic-x64.cc,1576,1157413,152,38887
v8/src/x64/lithium-codegen-x64.cc,1590,1157478,152,38887
third_party/webrtc/modules/audio_coding/codecs/g711/g711.c,59,7744,1044,320
third_party/webrtc/modules/audio_coding/codecs/g722/g722_decode.c,178,45908,4900,1757
v8/src/ia32/full-codegen-ia32.cc,5183,1749834,153140,60494
third_party/webrtc/modules/audio_coding/codecs/g711/g711_interface.c,105,16418,1276,650
third_party/skia/third_party/glu/libtess/memalloc.c,90,29750,300,1116
third_party/webrtc/modules/audio_coding/codecs/g722/g722_encode.c,200,45535,5096,1763
third_party/skia/third_party/glu/libtess/dict.c,107,30343,868,1144
third_party/skia/third_party/glu/libtess/geom.c,123,9455,3164,296
v8/src/x64/lithium-gap-resolver-x64.cc,1663,1157503,152,38887
v8/src/x64/lithium-x64.cc,1644,1157438,152,38887
third_party/skia/third_party/glu/libtess/mesh.c,228,40200,3860,1707
third_party/skia/third_party/glu/libtess/normal.c,169,25770,2752,802
v8/src/ia32/stub-cache-ia32.cc,4163,1652062,108440,57073
base/mac/closure_blocks_leopard_compat.S,46,5584,1368,188
third_party/skia/third_party/glu/libtess/priorityq.c,187,44208,4240,1612
third_party/skia/third_party/glu/libtess/render.c,205,22339,5040,734
v8/src/x64/macro-assembler-x64.cc,1632,1157478,152,38887
third_party/skia/third_party/glu/libtess/tessmono.c,100,33072,1516,1246
sdch/open-vcdiff/src/adler32.c,152,27989,1244,1097
third_party/skia/third_party/glu/libtess/tess.c,226,49726,7008,1898
third_party/skia/third_party/glu/libtess/sweep.c,414,65339,11652,2436
sdch/open-vcdiff/src/instruction_map.cc,281,220320,4008,8632
v8/src/x64/regexp-macro-assembler-x64.cc,1613,1157513,152,38887
v8/src/x64/stub-cache-x64.cc,1627,1157453,152,38887
sdch/open-vcdiff/src/decodetable.cc,721,678461,3444,25578
sdch/open-vcdiff/src/logging.cc,552,668053,988,25167
v8/src/objects.cc,14222,2175969,312348,72955
sdch/open-vcdiff/src/codetable.cc,872,733801,6792,27637
sdch/open-vcdiff/src/headerparser.cc,739,696576,9780,26232
sdch/open-vcdiff/src/addrcache.cc,923,730597,6584,27598
sdch/open-vcdiff/src/encodetable.cc,836,755404,11076,28618
v8/src/platform-posix.cc,1796,1191689,8296,40165
sdch/open-vcdiff/src/blockhash.cc,1039,739838,10240,27933
sdch/open-vcdiff/src/varint_bigendian.cc,662,675385,4928,25491
third_party/angle/src/compiler/InitializeDll.cpp,99,44198,1780,1723
v8/src/platform-macos.cc,2134,1435738,18948,52831
